Year,Property,Portfolio,Savings,Net Investment
2014-01-01,1000000,100000,50000,925000
2015-01-01,1100000,103000,190905.8929,1133848.846
2016-01-01,1210000,106090,159405.6071,1167751.004
2017-01-01,1331000,109272.7,126933.2529,1205600.342
2018-01-01,1464100,112550.881,90836.23994,1245296.807
2019-01-01,1610510,115927.4074,50945.43344,1287119.7
2020-01-01,1781561,119405.2297,-102297.774,1252431.794
2021-01-01,1969717.1,122987.3865,-249544.7435,1228056.658
2022-01-01,2166688.81,126677.0081,-401409.4599,1213860.626
2023-01-01,2383357.691,130477.3184,-557737.1452,1208940.461
